Полимер,C5H10,Полипентен-1,Полиалкены,70.135
Мономер,C5H10,цис-Пентен-2,Алкены,70.135
Мономер,C4H8,транс-Бутен-2,Алкены,56.108
Мономер,C6H12,транс-4-Метилпентен-2,Алкены,84.162
Мономер,C4H8,Бутен-1,Алкены,56.108
Мономер,C7H14,Гептен-1,Алкены,98.189
Мономер,C8H16,Октен-1,Алкены,112.216
Мономер,C6H18Si3O3,1.1.3.3.5.5-Гексаметилциклотрисилоксан,Циклосилоксаны,222.462
Полимер,C2H6SiO,Полидиметилсилоксан,Полисилоксаны,74.154
Мономер,C8H24Si4O4,1.1.3.3.5.5.7.7-Октаметилциклотетрасилоксан,Циклосилоксаны,296.616
Мономер,C12H30Si3O3,1.1.3.3.5.5-Гексаэтилциклотрисилоксан,Циклосилоксаны,306.624
Полимер,C4H10Si1O1,Полидиэтилсилоксан,Полисилоксаны,102.208
Олигомер,C24H18,1.3.5-Трифенилбензол,Бензолы,306.408
Олигомер,C21H15N3O3,Трифенилизоцианурат,Изоцианураты,357.369
Олигомер,C39H30N6,Гексафенилизомеламин,Изомеламины,582.711
Мономер,C2F4,Тетрафторэтилен,Виниловые и родственные,100.016
Полимер,C2F4,Политетрафторэтилен,Виниловые и родственные,100.016
Мономер,C3H6,Пропилен,Алкены,42.081
Мономер,C22H34O4N2,1.4-бис-(2.2.6.6-тетраметил-4-окси-1-оксилпипередил)бутадиин,Диацетилены,390.524
Полимер,C22H34O4N2,Поли-1.4-бис-(2.2.4.4-тетраметил-4-окси-1-оксилпиперидил)бутатриен,Полиены,390.524
Мономер,C2H2Cl2,Винилиденхлорид,Виниловые и родственные,96.938
Полимер,C2H2Cl2,Поливинилиденхлорид,Виниловые и родственные,96.938
Мономер,C8H14,Винилциклогексан,Виниловые и родственные,110.2
Мономер,C8H8,Циклооктатетраен,Циклотетраены,104.152
Мономер,C70,Фуллерен С70,Фуллерен,840.77
Полимер,C2H2,цис-Полиацетилен,Полиены,26.038
Полимер,C2H2,транс-Полиацетилен,Полиены,26.038
Полимер,C9H12O2,"Полибицикло[2,2,1]-гепт-2-ен-5-ацетат",Полинорборнены,152.193
Мономер,C60,Фуллерен С60,Фуллерен,720.66
Мономер,C9H12O2,Бицикло[2.2.1]гептен-2,Циклоалкены,152.193
Полимер,C12H10Si1O1,Полидифенилсилоксан,Полисилоксаны,198.296
Полимер,C16D8H8,Сополимер стирола с дейтеростиролом (1:1),Виниловые и родственные,0
Полимер,C2H4O1,Полиэтаналь(атактический),Полиальдегиды,44.053
Полимер,C8D3H5,Полидейтеростирол (дейтерированный в цепочке),Виниловые и родственные,107.168
Полимер,C8D5H3,Полидейтеростиролл(дейтерированный в ядре),Виниловые и родственные,109.1799
Мономер,C8D8,Дейтеростирол,Виниловые и родственные,112.1984
Мономер,C3H6,Циклопропан,Циклоалканы,42.081
Полимер,C5H9O2N1,Циклический уретан1,Полиуретан,115.132
Полимер,C8D8,Полидейтеростирол,Виниловые и родственные,112.1984
Мономер,C4H8,Циклобутан,Циклоалканы,56.108
Полимер,C6H12Si1,Поли-[1-триметилсилил-1-пропин],Полиены,112.247
Мономер,C8H8,Стирол,Виниловые и родственные,104.152
Полимер,C8H8,Полистирол,Виниловые и родственные,104.152
Полимер,C9H10,Поли-α-метилстирол,Виниловые и родственные,118.179
Мономер,C9H10,α-Метилстирол,Виниловые и родственные,118.179
Мономер,C8H4N2,1.4-Дицианобензол,Нитрилы,128.134
Мономер,C3H4O2,Акриловая кислота,Виниловые и родственные,72.063
Полимер,C3H4O2,Полиакриловая кислота,Виниловые и родственные,72.063
Полимер,C7H14Si1,Полиметилдиаллилсилан,Полиены,126.274
Мономер,C7H14Si1,Диаллилметилсилан,Органосиланы,126.274
Мономер,H2,Диводород,Неорганические соединения,2.016
Полимер,C4H6,цис-1.4-Полибутадиен,Полиалкеномеры,54.092
Мономер,C8H14O2,н-Бутилметакрилат,Акрилаты,142.19799999999998
Мономер,C4H6,Циклобутен,Циклоалкены,54.092
Мономер,C12H12Ge,Дифенилгерман,Органогерманы,228.858
Мономер,C2H4,Этилен,Алкены,28.054
Полимер,C1H2,Полиэтилен,Полиалкены,14.027
Полимер,C6H10,Полигексеномер,Полиалкеномеры,82.146
Полимер,C5H8,цис-Полипентеномер,Полиалкеномеры,68.119
Мономер,C3H3O1,Пропилакрилат,Акрилаты,55.056
Полимер,C8H14,Поливинилциклогексан,Виниловые и родственные,110.2
Мономер,,5-Триметилсилил-2-норборнен,???,0
Мономер,,5-Триметилсилил-2-норборнен,Норборнены,0
