Id,Тип,Формула,Название,Класс
346,Мономер,C12H10O3Cr,a-метилстиролтрикарбонилхром,Виниловые и родственные
347,Мономер,C11H8O3Cr,стиролхромтрикарбонил,Виниловые и родственные
348,Мономер,C12H10O3Cr,р-метилстиротрикарбонилхром,Виниловые и родственные
349,Полимер,C16,G-2(Und-All),дендримеры
350,Полимер,C10H6O1F10,полифторнорборнен-2,Полинорборнены
351,Полимер,C60H40,русановполимер,полиареновые
352,Мономер,C52H34O2,русанов (мономер),Циклоалкены
353,Мономер,C24H24Si4O8,Тетрол,Циклосилоксаны
354,Полимер,C16,G-2(Und-All),дендримеры
355,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
356,Мономер,C48H44Si8O14,Димер тетрола,Циклосилоксаны
357,Полимер,C9H8O1,Сополимер СО со стиролом,Сополимеры СО с алкенами
358,Полимер,C24H20Si4O6,Полифенилсилсесквиоксан,Полисилоксаны
359,Мономер,c1,G-5(All)128,дендримеры
360,Олигомер,C60,димер(Ляпин),фуллериты
361,Полимер,C2F4,Политетрафторэтилен,Виниловые и родственные
362,Полимер,C2F6,Mah2,Виниловые и родственные
363,Полимер,C60H40,русановполимер,полиареновые
364,Олигомер,C60,димер(Ляпин),фуллериты
365,Олигомер,C60,"С60(1.5 ГПа, 423 К)",фуллериты
366,Олигомер,C60,димер(Ляпин),фуллериты
367,Полимер,C228H394O63N12,СПУ,Сетки
368,Мономер,Na1,NaHSiUO6*H2O,супер
369,Полимер,C16H12O2N4F4,Полимочевина,Полимочевина
370,Полимер,C60,RC60(Давыдов),Фуллериты
371,Мономер,C24H32O8,Дибензо-24-краун-8,Краунэфиры
372,Полимер,"C19,449H20,623O4,587N2,275F2,275",Полиротаксан (52% ПМ+48% КЭ),Полиротаксаны
373,Мономер,C24H32O8,Дибензо-24-краун-8,Краунэфиры
374,Мономер,Na5Zr1P3O12,Na5ZrP3O12,Фосфаты
375,Олигомер,C60,"С60 (1.3 ГПа, 560 К), орторомб",фуллериты
376,Мономер,Na5Zr1P3O12,Na5ZrP3O12,Фосфаты
377,Олигомер,C60,"С60 (1.3 ГПа, 560 К), орторомб",фуллериты
378,Мономер,Na5Zr1P3O12,Na5ZrP3O12,Фосфаты
379,Мономер,C24H32O8,Дибензо-24-краун-8,Краунэфиры
380,Полимер,C2F4,Политетрафторэтилен,Виниловые и родственные
381,Полимер,C2F6,Mah2,Виниловые и родственные
382,Мономер,C19H18O3N2,Спиропиран,спиросоед
383,Полимер,C4H4O2N1P1F6,Поли-[бис-(трифторэтокси)-фосфазен],Полифосфазены
384,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
385,Полимер,C3H6,гемиизотактический полипропилен,Полиалкены
386,Полимер,C3H6,стереоблочный полипропилен,Полиалкены
